country_code,year,tot_views,richness,exp_shannon,inv_simpson,lex_div_q_0,lex_div_q_1,lex_div_q_2
BG,2023,531173000,315,3.320938740024353,2.390654582697705,2.1731726669201383,1.9934387109153295,1.9160137253331306
BG,2024,601998000,321,3.2817943541870074,2.39998841486178,2.183735647296136,2.007726365207654,1.9402844727573259
BH,2015,38344000,226,2.4166760631739863,1.743946120797497,2.0253334365358606,1.7502437090198806,1.6056881272693144
BH,2016,60842000,160,2.284302216236521,1.7215748393140873,1.9853314873046146,1.7291043454337778,1.5912899003664438
BH,2017,56318000,64,2.486585182713771,1.8667755722482338,2.093224512761551,1.8373376803051022,1.6982992465768383
BH,2018,54032000,125,2.6231395829329798,1.9494027384787487,2.1433732973448296,1.893003481386445,1.7574745537799157
BH,2019,51384000,103,2.555009885843841,1.9585123596605425,2.0903406108325617,1.8785126661226208,1.7654259409251816
BH,2020,62954000,116,2.5688231432555333,2.021858666397861,2.0793333092795114,1.901330322332426,1.8119091411535133
BH,2021,64791000,121,2.601145154574533,2.0934096100598567,2.0815683344590665,1.930057566174168,1.8624732459369382
BH,2022,56131000,250,2.9228617943206308,2.1018821191966106,2.184271631632227,1.9645739672651283,1.8615231632659464
BH,2023,22205000,244,3.1635612382427047,2.1438178139224107,2.329944887700551,2.029159849184481,1.889818937279073
BI,2015,1423000,20,2.7025761880723773,1.9455075454712274,2.2093393338808833,1.8690406421154955,1.7136944737739483
BI,2016,5618000,31,2.6129150793846825,1.9345616192642163,2.1384909276351527,1.8437391399593008,1.7092894034685433
BI,2017,6143000,29,2.586876049765879,1.8464817176459873,2.161751006869941,1.8116332570376876,1.6502605746079937
BI,2018,4979000,32,2.653965922525365,1.881740947556228,2.1934097502777323,1.8374507864223122,1.6746339313447023
BI,2019,5301000,30,2.5542244586292613,1.8361995403064952,2.1732678501152223,1.809610922666,1.646258172539377
BI,2020,5096000,39,2.7323219096179976,1.90992529223401,2.227384174094477,1.8597154689857744,1.6950864252245228
BI,2021,4833000,25,2.5159648250513325,1.8456139516372265,2.171804013023046,1.8122404753909083,1.6534582550887524
BI,2022,4484000,28,2.6680097553897473,1.9615212688596226,2.2391826707341944,1.886932142962879,1.7338631012991537
BI,2023,4426000,28,2.7853957867178116,2.0217612973965546,2.2950322086890615,1.9310644596135709,1.7745397384941068
BI,2024,3895000,29,2.8254645637427163,2.0417576501858923,2.2932009600107874,1.9388498896396766,1.7847862283736007
BJ,2015,6993000,43,2.1002953254414836,1.5371904824548368,1.8386264155471068,1.5593762588753275,1.4244504234276132
BJ,2016,14566000,104,2.779088327255231,1.7657406802341271,2.092415398787796,1.7493992544276846,1.5827381716595328
BJ,2017,15266000,115,2.7297507959193497,1.7673655482063566,2.0826372706166825,1.7491590094948308,1.5822520284008725
BJ,2018,17380000,62,2.371288786371842,1.6265165001949908,1.9662466614162244,1.6459151002149763,1.487408599376655
BJ,2019,19831000,131,2.3808849460412818,1.5859641293985454,1.955203533520436,1.615781107138186,1.4595160204252908
BJ,2020,19343000,65,2.1363612741168527,1.541681699696687,1.856372265769146,1.5674332916222011,1.4298528351885078
BJ,2021,21826000,135,2.182008519795433,1.542022132643728,1.8693638360134015,1.570196824265775,1.4297973216214555
BJ,2022,20080000,170,2.3114983686205357,1.5701463834518603,1.9387769750601132,1.601553099083865,1.4499219846079525
BJ,2023,18853000,300,2.4964004941757003,1.6197921477126391,2.0114651324550397,1.6477048946521855,1.4860646697991104
BJ,2024,17801000,57,2.132153164341404,1.520862169765295,1.8962215305051253,1.563135272447939,1.4160242318472769
BL,2015,576000,11,2.7348130622896334,2.018421404845049,2.0008699624421733,1.8365240084261627,1.7250804142436245
BL,2016,837000,13,2.918083637251138,2.126396590815964,2.056249222120782,1.8966245943395197,1.789008988909987
BL,2017,666000,12,2.9772265352637977,2.0872437743520242,2.110592178598907,1.8979701566883544,1.7606929095913657
BL,2018,657000,11,3.2142036160817007,2.269889515836415,2.2458814852878226,2.0141000861549316,1.8731761180890938
BL,2019,554000,11,3.303494321095727,2.2488313134717686,2.2594991292568527,2.0093298780893307,1.8523875439060669
BL,2020,672000,10,2.899514794195602,1.9562640790157684,2.151342773294023,1.8530993755779368,1.6796706844585967
BL,2021,759000,12,2.9741882664849517,2.0227918327217824,2.112318915553459,1.8738382556846054,1.722386850651499
